lat,long,compon_n,compon_e,erro_n,erro_e
20,-76,0.0041,-0.0026,0.0011,0.0048
20,-75,0.0052,-0.0021,0.0022,0.0061
20,-74,0.0037,-0.0037,0.0011,0.0024
20,-73,0.0039,-0.0019,0.0009,0.0026
20,-72,0.0049,-0.0006,0.0011,0.0035
20,-71,0.0055,0.0005,0.0012,0.0046
19,-105,-0.0027,-0.0032,0.003,0.0018
19,-104,-0.0006,-0.0024,0.0026,0.0015
19,-103,-0.003,-0.0031,0.003,0.0016
19,-102,-0.0023,-0.0034,0.0035,0.0017
19,-101,-0.0024,-0.0037,0.0035,0.0017
19,-100,-0.0046,-0.0045,0.0008,0.0004
19,-99,-0.0034,-0.0045,0.0023,0.0004
19,-98,-0.0039,-0.0043,0.002,0.0002
19,-97,-0.0017,-0.0044,0.0028,0.0003
19,-96,-0.0012,-0.005,0.0028,0.0007
19,-95,-0.0007,-0.005,0.0028,0.0007
19,-94,-0.0003,-0.005,0.0025,0.0008
19,-93,-0.0014,-0.0056,0.0013,0.0013
19,-92,-0.0015,-0.0062,0.0007,0.0007
19,-91,-0.001,-0.0063,0.0007,0.0007
19,-90,-0.0013,-0.0062,0.0005,0.0007
19,-89,-0.001,-0.0062,0.0005,0.0005
19,-88,-0.0008,-0.0062,0.0002,0.0006
19,-87,-0.0004,-0.0057,0.0003,0.0004
19,-86,0,-0.0058,0.0003,0.0004
19,-85,0.0004,-0.0042,0.0001,0.002
19,-84,0.0006,-0.0047,0.0006,0.0019
19,-83,0.0006,-0.0038,0.0006,0.0019
19,-82,0.0008,-0.005,0.0002,0.0008
19,-81,0.0013,-0.0049,0.0002,0.0007
19,-80,0.0018,-0.0047,0.0002,0.0007
19,-79,0.0034,0.0009,0.0012,0.0057
19,-78,0.0052,0.0075,0.0001,0.0006
19,-77,0.0051,0.0045,0.0011,0.0052
19,-76,0.0058,0.0055,0.0011,0.0051
19,-75,0.0067,0.0052,0.0017,0.0056
19,-74,0.0052,0.0035,0.0026,0.0053
19,-73,0.0059,0.0052,0.0025,0.0041
19,-72,0.0055,0.0031,0.0014,0.0044
19,-71,0.0059,0.0033,0.0013,0.0043
19,-70,0.0067,0.0024,0.0011,0.0045
19,-69,0.0071,0.0038,0.0011,0.0047
19,-68,0.0103,0.0088,0.0015,0.001
19,-67,0.0118,0.0094,0.0009,0.0008
